,return,sharpe,max_dd
20,105.55247283645764,3.7642363773394405,-0.22966382380333705
30,223.9030132269636,4.1152544602360335,-0.23069478635769824
40,228.79048154790502,3.9098420724596075,-0.31804072389968596
50,196.18713606376912,3.7677543760466388,-0.35177017326290283
60,118.64479433937733,3.402986156443229,-0.3410823255156189
70,88.7088595767803,3.203097132701956,-0.30756955041765655
80,50.10808996782461,2.889215988258409,-0.2666306825042144
90,26.106720635649747,2.411654024546756,-0.2731566050535994
100,33.18149506889587,2.6478958923520444,-0.24975002213886865
110,28.432979265056243,2.563801345647203,-0.22497763215510802
120,23.62089582254795,2.368222835791423,-0.2618965942926499
130,28.409998713405308,2.443933063566805,-0.2876882716108883
140,21.667120692791194,2.2149973077161826,-0.29490026094944977
150,19.310160038426023,2.103145459101378,-0.3200418038320987
160,19.881888539944143,2.1481561757454863,-0.32323570809515634
170,15.742485188963588,2.033872069615469,-0.32459561443978047
180,8.008441617349877,1.6287875855188338,-0.3529709338828212
190,5.974201960167192,1.4743308166830917,-0.3289613074426201
200,4.845326165544308,1.3610044257598777,-0.33234349835815924
210,4.299884082038931,1.2889729208483878,-0.3369656298630793
220,3.210664765872501,1.150442181467364,-0.3691738587965163
230,3.029000559235959,1.1017278182516534,-0.35057539347895805
240,2.258919623346868,0.9742351050956809,-0.34727999718131475
250,1.077031396327583,0.7031841481597724,-0.4886829259923935
260,0.9650705024246498,0.6696650294128006,-0.456984700579116
270,0.8526273865771448,0.6322557587777741,-0.47454733070104516
280,0.9150338820843575,0.652047324532355,-0.4709591193614454
290,0.6273099713226797,0.5539428371037012,-0.4888562520006051
300,0.793698609958428,0.6117777403213395,-0.44939084694719844
310,0.7687351426095599,0.6035085740480225,-0.4754464068266495
320,0.7279870028781519,0.5883563267501419,-0.4994153038585323
330,1.089917370304911,0.7016459825211604,-0.46586958759355
340,1.0063790473558876,0.682220565564644,-0.5314669925806478
350,1.1116722742994432,0.7124519330029513,-0.5401757761004409
360,1.1518400375827231,0.7248862576106041,-0.5412802845619378
370,0.7961032853343071,0.6140627171071734,-0.5390514868033076
380,0.7104699939222241,0.5852956115386854,-0.5149165786743297
390,0.8403627520226864,0.6284313205703855,-0.5218164966870689
400,0.75220894891626,0.5974898143400534,-0.5084739668411731
410,0.5150361885548047,0.5091420890101984,-0.48304106338952624
420,0.4593779462645402,0.48602244438150655,-0.4660576105249523
430,0.3367726411731484,0.43172352584382745,-0.4583485573116801
440,0.19885174597809163,0.3662282224593615,-0.46577654734149787
450,0.3388158517365647,0.43434672084646153,-0.44074460809068206
460,0.35827192994060275,0.4430283497787341,-0.424657086607084
470,0.44315935117053584,0.4777795613961883,-0.38809840570624765
480,0.7976030467643469,0.606408329201107,-0.3848934345601349
490,0.6204446328212354,0.5442573088573439,-0.3918146728699796
500,0.553909392150844,0.5203906599522814,-0.4584350427548387
510,0.8181066224366926,0.611806339943687,-0.45795910695923703
520,0.7563419269242602,0.5916466415000388,-0.4521188847136184
530,0.5073969373607052,0.4991391547566584,-0.45161546828092136
540,0.5906264174902018,0.5298396542269106,-0.4445866929175236
550,0.5528840040255285,0.5140468658706349,-0.39851139870046826
560,0.28899227561785734,0.41031473033125193,-0.4267387361332313
570,0.3786796878354157,0.4483580204615512,-0.41007344003108126
580,0.37503151873337126,0.44780271579191944,-0.4183942983556165
590,0.19387161165037403,0.3709677260503025,-0.42618797479162074
